BmpSubmittedId,AgencyId,StateUniqueIdentifier,StateId,BmpId,GeographyId,LoadSourceId,UnitId,Amount,isValid,ErrorMessage,RowIndex,Cost,LrsegId,LoadSourceIdOriginal,TotalAmount,Capital
46,9,SU45,8,48,11909,16,1,83.0715407360294,True,,46,6323.40590898936,1975,6,83.0715408325195,6022.68670336213
47,9,SU46,8,137,11909,16,1,83.0715380339414,True,,47,762.596744503003,1975,6,83.0715408325195,726.045223403081
48,9,SU47,8,142,11909,16,1,83.0715316705614,True,,48,762.596686087173,1975,6,83.0715408325195,726.045167787142
49,9,SU48,8,48,11907,16,1,8.40541538693183,True,,49,639.820242339414,1973,6,8.40543651580811,609.392615552558
50,9,SU49,8,137,11907,16,1,8.40543344409087,True,,50,77.1618815818889,1973,6,8.40543651580811,73.4634863775032
51,9,SU50,8,142,11907,16,1,8.40542866994726,True,,51,77.1618377552491,1973,6,8.40543651580811,73.4634446514891
52,9,SU51,8,48,11910,16,1,43.021438170104,True,,52,3274.79199167023,1976,6,43.0214385986328,3119.05426733254
53,9,SU52,8,137,11910,16,1,43.021436005709,True,,53,394.936795661509,1976,6,43.0214385986328,376.007340843071
54,9,SU53,8,142,11910,16,1,43.0214316136444,True,,54,394.936755342355,1976,6,43.0214385986328,376.007302456428
55,9,SU54,8,48,11911,16,1,1.37279234994207,True,,55,104.496957448077,1977,6,1.37281775474548,99.5274453707998
56,9,SU55,8,137,11911,16,1,1.37281504425493,True,,56,12.6024425252101,1977,6,1.37281775474548,11.9984031725756
57,9,SU56,8,142,11911,16,1,1.37281142776527,True,,57,12.602409325834,1977,6,1.37281775474548,11.9983715644569
58,9,SU57,8,48,11906,14,1,643.61231014886,True,,58,48991.7708162652,1972,3,643.6123046875,46661.8924857923
59,9,SU58,8,70,11906,14,1,643.61209022839,True,,59,19514.31837931,1972,3,643.6123046875,235748.678029372
60,9,SU59,8,137,11906,14,1,643.612307379682,True,,60,5908.36117816037,1972,3,643.6123046875,5625.17141918725
61,9,SU60,8,142,11906,14,1,643.612300570737,True,,61,5908.36111565425,1972,3,643.6123046875,5625.17135967708
62,9,SU61,8,48,11911,14,1,4.09863080333745,True,,62,311.987788007272,1977,3,4.09865379333496,297.150733241965
63,9,SU62,8,137,11911,14,1,4.09865106368118,True,,63,37.6256180154023,1977,3,4.09865379333496,35.8222093584668
64,9,SU63,8,142,11911,14,1,4.09864733399889,True,,64,37.6255837769177,1977,3,4.09865379333496,35.8221767610444
65,9,SU64,8,48,11907,14,1,25.0950756021574,True,,65,1910.23722376191,1973,3,25.0950813293457,1819.39298115641
66,9,SU65,8,137,11907,14,1,25.0950783752246,True,,66,230.372827142972,1973,3,25.0950813293457,219.330979255656
67,9,SU66,8,142,11907,14,1,25.095073452579,True,,67,230.372781953084,1973,3,25.0950813293457,219.330936231734
68,9,SU67,8,48,11909,14,1,248.016526794319,True,,68,18879.0187007813,1975,3,248.016525268555,17981.1981925881
