BmpSubmittedId,AgencyId,StateUniqueIdentifier,StateId,BmpId,GeographyId,LoadSourceId,UnitId,Amount,isValid,ErrorMessage,RowIndex,Cost,LrsegId,LoadSourceIdOriginal,TotalAmount,Capital
16,9,SU15,8,48,11905,15,1,1300.10157430389,True,,16,98963.7354068478,1971,4,1300.1015625,94257.3641370321
17,9,SU16,8,48,11907,15,1,50.6624863239203,True,,17,3856.42859812549,1973,4,50.6624870300293,3673.03025848423
18,9,SU17,8,48,11910,15,1,259.305177320509,True,,18,19738.31080984,1976,4,259.30517578125,18799.6253557369
19,9,SU18,8,48,11904,15,1,123.845863591132,True,,19,9427.14747670979,1970,4,123.845863342285,8978.82511035707
20,9,SU19,8,48,11906,15,1,1299.3383912878,True,,20,98905.6419135671,1972,4,1299.33837890625,94202.0333683657
21,9,SU20,8,70,11908,15,1,2873.9326395881,True,,21,87137.6367552567,1974,4,2873.9326171875,1052692.81111226
22,9,SU21,8,48,11911,15,1,8.27442753720554,True,,22,629.84944685848,1977,4,8.27445030212402,599.895996447402
23,9,SU22,8,48,11905,17,1,38.064780541916,True,,23,2897.49119939869,1971,7,38.0647811889648,2759.69658928891
24,9,SU23,8,48,11908,17,1,84.1439055713744,True,,24,6405.03432320116,1974,7,84.1439056396484,6100.43315392465
25,9,SU24,8,48,11906,17,1,38.0424338467166,True,,25,2895.79016889874,1972,7,38.0424346923828,2758.07645388696
26,9,SU25,8,70,11906,17,1,38.0424210630697,True,,26,1153.44619502265,1972,7,38.0424346923828,13934.5587362613
27,9,SU26,8,48,11909,17,1,14.6596692605469,True,,27,1115.89406437681,1975,7,14.6596841812134,1062.82602138965
28,9,SU27,8,48,11910,17,1,7.59199872669164,True,,28,577.902963927815,1976,7,7.59201860427856,550.419907685144
29,9,SU28,8,48,11904,17,1,3.62597490343589,True,,29,276.009219608578,1970,7,3.6259982585907,262.883180499102
30,9,SU29,8,48,11907,17,1,1.48328628199446,True,,30,112.907755859386,1973,7,1.48331224918365,107.538255444599
31,9,SU30,8,48,11911,17,1,0.242229501082184,True,,31,18.438510287679,1977,7,0.242261961102486,17.5616388284583
32,9,SU31,8,70,11911,17,1,0.242213125002518,True,,32,7.34390187615878,1977,7,0.242261961102486,88.7202476268647
33,9,SU32,8,48,11908,16,1,476.815463760316,True,,33,36295.1944110481,1974,6,476.815460205078,34569.1211226229
34,9,SU33,8,137,11908,16,1,476.815460898989,True,,34,4377.16607656525,1974,6,476.815460205078,4167.36701912277
35,9,SU34,8,142,11908,16,1,476.815452646863,True,,35,4377.16600081073,1974,6,476.815460205078,4167.36694699919
